alpha,metric,group,data,opt
0.15,precision,18-24,0.0,ETDopt
0.15,precision,25-34,0.05,ETDopt
0.15,precision,35-44,nan,ETDopt
0.15,precision,45-49,nan,ETDopt
0.15,precision,50-55,nan,ETDopt
0.15,precision,56+,nan,ETDopt
0.15,LIR,Overall,0.053844340137575365,ETDopt
0.15,LIR,Male,0.055762380689273035,ETDopt
0.15,LIR,Female,0.04796665394153754,ETDopt
0.15,LIR,Under 18,0.04753074484973071,ETDopt
0.15,LIR,18-24,0.05938809579341083,ETDopt
0.15,LIR,25-34,0.05129682524077758,ETDopt
0.15,LIR,35-44,0.04620533516934461,ETDopt
0.15,LIR,45-49,0.06104135862435742,ETDopt
0.15,LIR,50-55,0.033651337902266626,ETDopt
0.15,LIR,56+,0.0651285095701451,ETDopt
0.15,SEP,Overall,0.8571206480054383,ETDopt
0.15,SEP,Male,0.8561568809057973,ETDopt
0.15,SEP,Female,0.8590569709189442,ETDopt
0.15,SEP,Under 18,0.8586622648276937,ETDopt
0.15,SEP,18-24,0.8562810581613198,ETDopt
0.15,SEP,25-34,0.8566022094671266,ETDopt
0.15,SEP,35-44,0.8524836044966518,ETDopt
0.15,SEP,45-49,0.8607371901851381,ETDopt
0.15,SEP,50-55,0.8543806582540329,ETDopt
0.15,SEP,56+,0.8659947688360892,ETDopt
0.15,ETD,Overall,0.30804838440407356,ETDopt
0.15,ETD,Male,0.3088235294117647,ETDopt
0.15,ETD,Female,0.30947594156279323,ETDopt
0.15,ETD,Under 18,0.3083989501312336,ETDopt
0.15,ETD,18-24,0.3099027409372237,ETDopt
0.15,ETD,25-34,0.30888310185185186,ETDopt
0.15,ETD,35-44,0.3057950191570881,ETDopt
0.15,ETD,45-49,0.3052039381153304,ETDopt
0.15,ETD,50-55,0.30357142857142855,ETDopt
0.15,ETD,56+,0.30392156862745096,ETDopt
0.2,ndcg,Overall,0.03571428571428571,ETDopt
0.2,ndcg,Male,0.1,ETDopt
0.2,ndcg,Female,0.0,ETDopt
0.2,ndcg,Under 18,0.0,ETDopt
0.2,ndcg,18-24,0.0,ETDopt
0.2,ndcg,25-34,0.25,ETDopt
0.2,ndcg,35-44,nan,ETDopt
0.2,ndcg,45-49,nan,ETDopt
0.2,ndcg,50-55,nan,ETDopt
0.2,ndcg,56+,nan,ETDopt
0.2,hr,Overall,0.07142857142857142,ETDopt
0.2,hr,Male,0.2,ETDopt
0.2,hr,Female,0.0,ETDopt
0.2,hr,Under 18,0.0,ETDopt
0.2,hr,18-24,0.0,ETDopt
0.2,hr,25-34,0.5,ETDopt
0.2,hr,35-44,nan,ETDopt
0.2,hr,45-49,nan,ETDopt
0.2,hr,50-55,nan,ETDopt
0.2,hr,56+,nan,ETDopt
0.2,recall,Overall,0.017857142857142856,ETDopt
0.2,recall,Male,0.05,ETDopt
0.2,recall,Female,0.0,ETDopt
0.2,recall,Under 18,0.0,ETDopt
0.2,recall,18-24,0.0,ETDopt
0.2,recall,25-34,0.125,ETDopt
0.2,recall,35-44,nan,ETDopt
0.2,recall,45-49,nan,ETDopt
0.2,recall,50-55,nan,ETDopt
0.2,recall,56+,nan,ETDopt
0.2,precision,Overall,0.0071428571428571435,ETDopt
0.2,precision,Male,0.02,ETDopt
0.2,precision,Female,0.0,ETDopt
0.2,precision,Under 18,0.0,ETDopt
0.2,precision,18-24,0.0,ETDopt
0.2,precision,25-34,0.05,ETDopt
0.2,precision,35-44,nan,ETDopt
0.2,precision,45-49,nan,ETDopt
0.2,precision,50-55,nan,ETDopt
0.2,precision,56+,nan,ETDopt
0.2,LIR,Overall,0.053825674302474015,ETDopt
0.2,LIR,Male,0.055737623710911996,ETDopt
0.2,LIR,Female,0.04796665394153754,ETDopt
0.2,LIR,Under 18,0.04758335393120799,ETDopt
0.2,LIR,18-24,0.05930704435227892,ETDopt
0.2,LIR,25-34,0.05131714868116153,ETDopt
0.2,LIR,35-44,0.04620533516934461,ETDopt
0.2,LIR,45-49,0.06104135862435742,ETDopt
0.2,LIR,50-55,0.033651337902266626,ETDopt
0.2,LIR,56+,0.0651285095701451,ETDopt
0.2,SEP,Overall,0.8573433490470901,ETDopt
0.2,SEP,Male,0.8563731755079024,ETDopt
0.2,SEP,Female,0.8592948623933505,ETDopt
0.2,SEP,Under 18,0.8588473580539308,ETDopt
0.2,SEP,18-24,0.8565758346258042,ETDopt
0.2,SEP,25-34,0.8567629185441831,ETDopt
0.2,SEP,35-44,0.8525628447912474,ETDopt
0.2,SEP,45-49,0.86123303260749,ETDopt
0.2,SEP,50-55,0.8542632293747001,ETDopt
0.2,SEP,56+,0.8657160660968987,ETDopt
0.2,ETD,Overall,0.30883759049310205,ETDopt
0.2,ETD,Male,0.30969204498616265,ETDopt
0.2,ETD,Female,0.31014609301702184,ETDopt
0.2,ETD,Under 18,0.30918635170603675,ETDopt
0.2,ETD,18-24,0.3106641123882503,ETDopt
0.2,ETD,25-34,0.30984760802469136,ETDopt
0.2,ETD,35-44,0.30603448275862066,ETDopt
0.2,ETD,45-49,0.3066104078762306,ETDopt
0.2,ETD,50-55,0.30555555555555564,ETDopt
0.2,ETD,56+,0.30718954248366004,ETDopt
0.25,ndcg,Overall,0.03571428571428571,ETDopt
0.25,ndcg,Male,0.1,ETDopt
0.25,ndcg,Female,0.0,ETDopt
0.25,ndcg,Under 18,0.0,ETDopt
0.25,ndcg,18-24,0.0,ETDopt
0.25,ndcg,25-34,0.25,ETDopt
0.25,ndcg,35-44,nan,ETDopt
0.25,ndcg,45-49,nan,ETDopt
0.25,ndcg,50-55,nan,ETDopt
0.25,ndcg,56+,nan,ETDopt
0.25,hr,Overall,0.07142857142857142,ETDopt
0.25,hr,Male,0.2,ETDopt
0.25,hr,Female,0.0,ETDopt
0.25,hr,Under 18,0.0,ETDopt
0.25,hr,18-24,0.0,ETDopt
0.25,hr,25-34,0.5,ETDopt
0.25,hr,35-44,nan,ETDopt
0.25,hr,45-49,nan,ETDopt
0.25,hr,50-55,nan,ETDopt
0.25,hr,56+,nan,ETDopt
0.25,recall,Overall,0.017857142857142856,ETDopt
0.25,recall,Male,0.05,ETDopt
0.25,recall,Female,0.0,ETDopt
0.25,recall,Under 18,0.0,ETDopt
0.25,recall,18-24,0.0,ETDopt
0.25,recall,25-34,0.125,ETDopt
0.25,recall,35-44,nan,ETDopt
0.25,recall,45-49,nan,ETDopt
0.25,recall,50-55,nan,ETDopt
0.25,recall,56+,nan,ETDopt
0.25,precision,Overall,0.0071428571428571435,ETDopt
0.25,precision,Male,0.02,ETDopt
0.25,precision,Female,0.0,ETDopt
0.25,precision,Under 18,0.0,ETDopt
0.25,precision,18-24,0.0,ETDopt
0.25,precision,25-34,0.05,ETDopt
0.25,precision,35-44,nan,ETDopt
0.25,precision,45-49,nan,ETDopt
0.25,precision,50-55,nan,ETDopt
0.25,precision,56+,nan,ETDopt
0.25,LIR,Overall,0.05371027140486985,ETDopt
0.25,LIR,Male,0.05558456187235629,ETDopt
0.25,LIR,Female,0.04796665394153754,ETDopt
0.25,LIR,Under 18,0.04711898380768372,ETDopt
0.25,LIR,18-24,0.05930704435227892,ETDopt
