dataset,model,role,optimized_metric,alpha,ndcg,hr,precision,recall,LIR,SEP,ETD,ndcg_delta_pct,hr_delta_pct,precision_delta_pct,recall_delta_pct,LIR_delta_pct,SEP_delta_pct,ETD_delta_pct,ndcg_retention_pct,optimized_metric_gain_pct,sweep_protocol,ndcg_scope
LastFM,UCPR,auxiliary,ETD,0.1,0.03736869676113127,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.02166032561976005,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.97833967438025,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.15,0.03736869676113127,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.02166032561976005,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.97833967438025,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.2,0.03735037605959254,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.07067657398455447,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.92932342601544,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.25,0.03735294434988535,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.06380522385643722,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.93619477614357,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.3,0.03734598299545552,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.08243002798668915,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.91756997201331,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.35,0.037358166529722604,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.04983350648702444,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.95016649351297,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.4,0.037358034612212404,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.050186446107265956,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.94981355389272,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.45,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.5,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.55,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.6,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.65,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.7,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.75,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.8,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.85,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.9,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,0.95,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,ETD,1.0,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,99.90177945338043,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.0,0.10189633102321971,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.46201790095433554,0.4797962841285518,0.16263245033113824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.05,0.10189633102321971,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,0.0,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,100.0,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.1,0.10186453362695233,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-0.031205634146075623,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,99.96879436585392,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.15,0.10184520235555483,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-0.05017714293680332,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,99.9498228570632,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.2,0.10182597730653185,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-0.06904440619341352,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,99.93095559380659,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.25,0.10189861677582263,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,0.002243213842895211,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,100.0022432138429,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.3,0.10181332463346285,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-0.08146160801211488,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,99.9185383919879,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.35,0.10185091040781788,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.722162995805205,0.4883615456968317,0.15836092715232986,-0.044575319784066425,0.0,0.0,0.0,56.30628040894491,1.7851871412128368,-2.626488852692728,99.95542468021593,56.30628040894491,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.4,0.10153961035006244,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.722162995805205,0.4883615456968317,0.15836092715232986,-0.35008196033671013,0.0,0.0,0.0,56.30628040894491,1.7851871412128368,-2.626488852692728,99.64991803966329,56.30628040894491,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.45,0.10133033968751456,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.722162995805205,0.4883615456968317,0.15836092715232986,-0.5554580130821102,0.0,0.0,0.0,56.30628040894491,1.7851871412128368,-2.626488852692728,99.44454198691788,56.30628040894491,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
