protocol,model,objective,rec_metric,alpha,rec_value,explainability
legacy_four_model,TPRec,LIR,hr,0.9,0.4822,0.9448
legacy_four_model,TPRec,LIR,hr,0.95,0.4792,0.945
legacy_four_model,TPRec,LIR,hr,1.0,0.4249,0.9451
legacy_four_model,PGPR,LIR,precision,0.0,0.0929,0.4655
legacy_four_model,PGPR,LIR,precision,0.05,0.093,0.7916
legacy_four_model,PGPR,LIR,precision,0.1,0.093,0.846
legacy_four_model,PGPR,LIR,precision,0.15,0.0914,0.8822
legacy_four_model,PGPR,LIR,precision,0.2,0.0893,0.9045
legacy_four_model,PGPR,LIR,precision,0.25,0.0876,0.919
legacy_four_model,PGPR,LIR,precision,0.3,0.0866,0.9292
legacy_four_model,PGPR,LIR,precision,0.35,0.0863,0.9369
legacy_four_model,PGPR,LIR,precision,0.4,0.0853,0.9425
legacy_four_model,PGPR,LIR,precision,0.45,0.0838,0.9472
legacy_four_model,PGPR,LIR,precision,0.5,0.0821,0.9509
legacy_four_model,PGPR,LIR,precision,0.55,0.081,0.9539
legacy_four_model,PGPR,LIR,precision,0.6,0.08,0.9562
legacy_four_model,PGPR,LIR,precision,0.65,0.079,0.9581
legacy_four_model,PGPR,LIR,precision,0.7,0.0781,0.9596
legacy_four_model,PGPR,LIR,precision,0.75,0.0771,0.9608
legacy_four_model,PGPR,LIR,precision,0.8,0.0757,0.9616
legacy_four_model,PGPR,LIR,precision,0.85,0.0746,0.9622
legacy_four_model,PGPR,LIR,precision,0.9,0.0737,0.9625
legacy_four_model,PGPR,LIR,precision,0.95,0.0728,0.9626
legacy_four_model,PGPR,LIR,precision,1.0,0.051,0.9627
legacy_four_model,UCPR,LIR,precision,0.0,0.0617,0.4568
legacy_four_model,UCPR,LIR,precision,0.05,0.0619,0.6711
legacy_four_model,UCPR,LIR,precision,0.1,0.0617,0.6863
legacy_four_model,UCPR,LIR,precision,0.15,0.0617,0.6985
legacy_four_model,UCPR,LIR,precision,0.2,0.0609,0.7075
legacy_four_model,UCPR,LIR,precision,0.25,0.0602,0.7145
legacy_four_model,UCPR,LIR,precision,0.3,0.0596,0.7198
legacy_four_model,UCPR,LIR,precision,0.35,0.0592,0.7238
legacy_four_model,UCPR,LIR,precision,0.4,0.0589,0.7266
legacy_four_model,UCPR,LIR,precision,0.45,0.0582,0.7288
legacy_four_model,UCPR,LIR,precision,0.5,0.0576,0.7305
legacy_four_model,UCPR,LIR,precision,0.55,0.0571,0.7317
legacy_four_model,UCPR,LIR,precision,0.6,0.0569,0.7325
legacy_four_model,UCPR,LIR,precision,0.65,0.0566,0.7331
legacy_four_model,UCPR,LIR,precision,0.7,0.0564,0.7335
legacy_four_model,UCPR,LIR,precision,0.75,0.0562,0.7338
legacy_four_model,UCPR,LIR,precision,0.8,0.0561,0.734
legacy_four_model,UCPR,LIR,precision,0.85,0.0559,0.7341
legacy_four_model,UCPR,LIR,precision,0.9,0.0557,0.7341
legacy_four_model,UCPR,LIR,precision,0.95,0.0556,0.7342
legacy_four_model,UCPR,LIR,precision,1.0,0.0551,0.7342
legacy_four_model,CAFE,LIR,precision,0.0,0.1071,0.3949
legacy_four_model,CAFE,LIR,precision,0.05,0.1037,0.4897
legacy_four_model,CAFE,LIR,precision,0.1,0.0945,0.5911
legacy_four_model,CAFE,LIR,precision,0.15,0.0887,0.6447
legacy_four_model,CAFE,LIR,precision,0.2,0.0847,0.6696
legacy_four_model,CAFE,LIR,precision,0.25,0.0822,0.6818
legacy_four_model,CAFE,LIR,precision,0.3,0.08,0.6883
legacy_four_model,CAFE,LIR,precision,0.35,0.0788,0.6921
legacy_four_model,CAFE,LIR,precision,0.4,0.0778,0.6944
legacy_four_model,CAFE,LIR,precision,0.45,0.077,0.6959
legacy_four_model,CAFE,LIR,precision,0.5,0.076,0.6969
legacy_four_model,CAFE,LIR,precision,0.55,0.0752,0.6976
legacy_four_model,CAFE,LIR,precision,0.6,0.075,0.698
legacy_four_model,CAFE,LIR,precision,0.65,0.0745,0.6982
legacy_four_model,CAFE,LIR,precision,0.7,0.0744,0.6984
legacy_four_model,CAFE,LIR,precision,0.75,0.0742,0.6985
legacy_four_model,CAFE,LIR,precision,0.8,0.074,0.6985
legacy_four_model,CAFE,LIR,precision,0.85,0.0739,0.6985
legacy_four_model,CAFE,LIR,precision,0.9,0.0739,0.6986
legacy_four_model,CAFE,LIR,precision,0.95,0.0738,0.6986
legacy_four_model,CAFE,LIR,precision,1.0,0.0535,0.6986
legacy_four_model,TPRec,LIR,precision,0.0,0.0896,0.4502
legacy_four_model,TPRec,LIR,precision,0.05,0.091,0.7761
legacy_four_model,TPRec,LIR,precision,0.1,0.0919,0.8255
legacy_four_model,TPRec,LIR,precision,0.15,0.0923,0.8577
legacy_four_model,TPRec,LIR,precision,0.2,0.0918,0.8795
legacy_four_model,TPRec,LIR,precision,0.25,0.091,0.8949
legacy_four_model,TPRec,LIR,precision,0.3,0.0905,0.9064
legacy_four_model,TPRec,LIR,precision,0.35,0.0897,0.9152
legacy_four_model,TPRec,LIR,precision,0.4,0.0881,0.9218
legacy_four_model,TPRec,LIR,precision,0.45,0.0873,0.927
legacy_four_model,TPRec,LIR,precision,0.5,0.0863,0.9312
legacy_four_model,TPRec,LIR,precision,0.55,0.0849,0.9345
legacy_four_model,TPRec,LIR,precision,0.6,0.0833,0.9374
legacy_four_model,TPRec,LIR,precision,0.65,0.0817,0.9395
legacy_four_model,TPRec,LIR,precision,0.7,0.0803,0.9413
legacy_four_model,TPRec,LIR,precision,0.75,0.0788,0.9427
legacy_four_model,TPRec,LIR,precision,0.8,0.0776,0.9437
legacy_four_model,TPRec,LIR,precision,0.85,0.0765,0.9444
legacy_four_model,TPRec,LIR,precision,0.9,0.0755,0.9448
legacy_four_model,TPRec,LIR,precision,0.95,0.0745,0.945
legacy_four_model,TPRec,LIR,precision,1.0,0.0627,0.9451
legacy_four_model,PGPR,LIR,recall,0.0,0.0423,0.4655
legacy_four_model,PGPR,LIR,recall,0.05,0.0426,0.7916
legacy_four_model,PGPR,LIR,recall,0.1,0.0426,0.846
legacy_four_model,PGPR,LIR,recall,0.15,0.0418,0.8822
legacy_four_model,PGPR,LIR,recall,0.2,0.0406,0.9045
legacy_four_model,PGPR,LIR,recall,0.25,0.0398,0.919
legacy_four_model,PGPR,LIR,recall,0.3,0.0395,0.9292
legacy_four_model,PGPR,LIR,recall,0.35,0.0394,0.9369
legacy_four_model,PGPR,LIR,recall,0.4,0.039,0.9425
legacy_four_model,PGPR,LIR,recall,0.45,0.0383,0.9472
legacy_four_model,PGPR,LIR,recall,0.5,0.0375,0.9509
legacy_four_model,PGPR,LIR,recall,0.55,0.0371,0.9539
legacy_four_model,PGPR,LIR,recall,0.6,0.037,0.9562
legacy_four_model,PGPR,LIR,recall,0.65,0.0366,0.9581
legacy_four_model,PGPR,LIR,recall,0.7,0.0361,0.9596
legacy_four_model,PGPR,LIR,recall,0.75,0.0358,0.9608
legacy_four_model,PGPR,LIR,recall,0.8,0.0353,0.9616
legacy_four_model,PGPR,LIR,recall,0.85,0.035,0.9622
legacy_four_model,PGPR,LIR,recall,0.9,0.0347,0.9625
